Coin Code,Exchange,Market,Buy,Sell,Last,Volume
42,CRYPTSY,BTC,74.33073372,74.33073372,0.06589963,74.33073372

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
ADT,CRYPTSY,LTC,1.8E-7,1.8E-7,3.927859117563783E7,1.8E-7

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
ALF,CRYPTSY,BTC,1.58E-6,1.58E-6,89734.04674263,1.58E-6

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
AMC,CRYPTSY,BTC,2.26E-6,2.26E-6,204385.66705271,2.26E-6

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
ANC,CRYPTSY,BTC,0.00145303,0.00145303,8395.30359789,0.00145303
ANC,CRYPTSY,LTC,0.06125812,0.06125812,1222.12590803,0.06125812
ANC,COINEX,BTC,0.2,0.2,5.08458274E8,150000.0

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
ARG,CRYPTSY,BTC,4.703E-5,4.703E-5,8226.22788517,4.703E-5

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
ASC,CRYPTSY,LTC,1.084E-5,1.084E-5,6818550.84789509,1.084E-5
ASC,COINEX,BTC,0.2,0.2,3.447187072086E12,18.0
ASC,COINEX,DOGE,0.2,0.2,3.40582559321E12,1.9060572E7
ASC,COINEX,LTC,0.2,0.2,4.278870568908E12,1161.0

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
AUR,CRYPTSY,BTC,0.0028985,0.0028985,48519.41833235,0.0028985
AUR,CRYPTSY,LTC,0.11824269,0.11824269,2669.72525594,0.11824269
AUR,BTER,BTC,0.00286,0.00301998,3064.002,0.00301999

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
BAT,CRYPTSY,LTC,2.4E-7,2.4E-7,1.7935768812766528E8,2.4E-7
BAT,CRYPTSY,BTC,1.0E-8,1.0E-8,5.466220723952095E7,1.0E-8

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
BC,CRYPTSY,BTC,9.509E-5,9.509E-5,471306.00945868,9.509E-5
BC,BTER,BTC,9.41E-5,9.521E-5,64781.2,9.41E-5

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
BCX,CRYPTSY,BTC,5.66E-6,5.66E-6,228579.3635916,5.66E-6

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
BEN,CRYPTSY,BTC,1.7E-5,1.7E-5,1145.63811587,1.7E-5

