Coin Code,Exchange,Market,Buy,Sell,Last,Volume
42,CRYPTSY,BTC,68.71344994,68.71344994,0.09294205,68.71344994

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
ADT,CRYPTSY,LTC,2.2E-7,2.2E-7,1.6064090181008357E8,2.2E-7

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
ALF,CRYPTSY,BTC,1.6E-6,1.6E-6,135363.65375718,1.6E-6

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
AMC,CRYPTSY,BTC,2.3E-6,2.3E-6,201058.4055305,2.3E-6

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
ANC,CRYPTSY,BTC,0.00150057,0.00150057,5752.31409663,0.00150057
ANC,CRYPTSY,LTC,0.0575587,0.0575587,1166.26758913,0.0575587
ANC,COINEX,BTC,0.2,0.2,5.18868598E8,110410.0

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
ARG,CRYPTSY,BTC,4.699E-5,4.699E-5,7642.43434513,4.699E-5

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
ASC,CRYPTSY,LTC,1.022E-5,1.022E-5,8554717.6457009,1.022E-5
ASC,COINEX,BTC,0.2,0.2,5.461643610346E12,18.0
ASC,COINEX,DOGE,0.2,0.2,6.862176202431E12,1.85E7
ASC,COINEX,LTC,0.2,0.2,6.278870568908E12,800.0

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
AUR,CRYPTSY,BTC,0.00287052,0.00287052,63088.85098916,0.00287052
AUR,CRYPTSY,LTC,0.1128762,0.1128762,1898.60353538,0.1128762
AUR,BTER,BTC,0.002933,0.00309999,3790.551,0.002933

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
BAT,CRYPTSY,LTC,2.6E-7,2.6E-7,5.897003146402884E7,2.6E-7
BAT,CRYPTSY,BTC,1.0E-8,1.0E-8,5068768.14371258,1.0E-8

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
BC,CRYPTSY,BTC,9.679E-5,9.679E-5,425631.90039834,9.679E-5
BC,BTER,BTC,9.331E-5,9.599E-5,27308.149,9.329E-5

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
BCX,CRYPTSY,BTC,6.0E-6,6.0E-6,245502.69631931,6.0E-6

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
BEN,CRYPTSY,BTC,1.81E-5,1.81E-5,26354.70676111,1.81E-5

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
BET,CRYPTSY,BTC,7.66E-6,7.66E-6,150106.15306442,7.66E-6
BET,COINEX,LTC,0.2,0.2,3.798980663E10,11650.0
BET,COINEX,BTC,0.2,0.2,1.02576500957E11,582.0

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
BFC,COINEX,BTC,0.2,0.2,2.6261551356978E13,28.0

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
BOC,COINEX,LTC,0.2,0.2,1.998E10,363.0
BOC,COINEX,BTC,0.2,0.2,3.09328284298E11,65.0

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
BQC,CRYPTSY,BTC,1.108E-5,1.108E-5,64136.91157803,1.108E-5
BQC,BTER,BTC,1.121E-5,1.24E-5,264032.82,1.18E-5
BQC,BTER,CNY,0.0291,0.0317,191382.742,0.029

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
BTB,CRYPTSY,BTC,0.04147389,0.04147389,36.57674352,0.04147389
BTB,BTER,BTC,0.0437,0.04457,52.9652,0.0437
BTB,BTER,CNY,100.78,113.5,6.088,113.0

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
BTC,CRYPTSY,USD,0.0,0.0,0.0,0.0
BTC,BTER,CNY,2512.02,2543.0,366.7055,2535.0
BTC,BITTREX,10-5,1.21E-5,1.21E-5,233.72232549,1.21E-5
BTC,BITTREX,365,2.79,2.79,1.06559928,2.79
BTC,BITTREX,888,1.008E-5,1.008E-5,158025.02268717,1.008E-5
BTC,BITTREX,AAA,0.36411,0.36411,-1.0,0.36411
BTC,BITTREX,APH,7.0E-7,7.0E-7,960817.83881296,7.0E-7
BTC,BITTREX,AUR,0.00235,0.00235,6.74592599,0.00235
BTC,BITTREX,BC,1.4E-4,1.4E-4,4041.13039441,1.4E-4
BTC,BITTREX,BEA,1.095E-5,1.095E-5,0.13,1.095E-5
BTC,BITTREX,BELA,8.5E-7,8.5E-7,20433.64081101,8.5E-7
BTC,BITTREX,BELI,1.0E-8,1.0E-8,1000000.0,1.0E-8
BTC,BITTREX,BLTZ,1.19E-6,1.19E-6,1497801.04495786,1.19E-6
BTC,BITTREX,BNS,3.0E-8,3.0E-8,505.3931,3.0E-8
BTC,BITTREX,BONES,2.05E-6,2.05E-6,-1.0,2.05E-6
BTC,BITTREX,BTL,1.0E-5,1.0E-5,667486.41942999,1.0E-5
BTC,BITTREX,C2,8.0E-6,8.0E-6,13843.60570494,8.0E-6
BTC,BITTREX,CAT,7.0E-5,7.0E-5,-1.0,7.0E-5
BTC,BITTREX,CATC,7.1E-5,7.1E-5,5085.67270326,7.1E-5
BTC,BITTREX,CESC,1.5E-6,1.5E-6,67097.94927972,1.5E-6
BTC,BITTREX,CGA,0.00115,0.00115,-1.0,0.00115
BTC,BITTREX,CGB,0.00265,0.00265,-1.0,0.00265
BTC,BITTREX,COMM,5.0E-7,5.0E-7,9925.38,5.0E-7
BTC,BITTREX,DIME,1.0E-8,1.0E-8,-1.0,1.0E-8
BTC,BITTREX,DOGE,9.8E-7,9.8E-7,1037016.55644731,9.8E-7
BTC,BITTREX,DRK,0.0011,0.0011,99.52272905,0.0011
BTC,BITTREX,EAC,6.0E-8,6.0E-8,-1.0,6.0E-8
BTC,BITTREX,ECC,5.0E-8,5.0E-8,2145564.93274,5.0E-8
BTC,BITTREX,EFL,1.7996E-4,1.7996E-4,42827.3120778,1.7996E-4
BTC,BITTREX,EMC2,3.78E-6,3.78E-6,34422.2293913,3.78E-6
BTC,BITTREX,EXE,7.001E-5,7.001E-5,310.72943057,7.001E-5
BTC,BITTREX,FAC,3.0E-5,3.0E-5,-1.0,3.0E-5
BTC,BITTREX,FLT,2.0E-6,2.0E-6,3010.865,2.0E-6
BTC,BITTREX,FRX,1.0E-8,1.0E-8,-1.0,1.0E-8
BTC,BITTREX,FTC,2.5E-5,2.5E-5,50.0,2.5E-5
BTC,BITTREX,GAC,9.0E-6,9.0E-6,52006.25547992,9.0E-6
BTC,BITTREX,GER,2.849E-5,2.849E-5,46943.05631573,2.849E-5
BTC,BITTREX,GLD,4.0E-5,4.0E-5,624.25663324,4.0E-5
BTC,BITTREX,GPUC,4.0E-8,4.0E-8,325178.65781092,4.0E-8
BTC,BITTREX,GRCE,2.221E-5,2.221E-5,7668.01932695,2.221E-5
BTC,BITTREX,GRS,1.0E-5,1.0E-5,4837.02973974,1.0E-5
BTC,BITTREX,H2O,4.9E-7,4.9E-7,407867.83959387,4.9E-7
BTC,BITTREX,HIC,3.4E-6,3.4E-6,392524.90747997,3.4E-6
BTC,BITTREX,HIRO,6.65E-6,6.65E-6,595.43784204,6.65E-6
BTC,BITTREX,HKC,1.1E-7,1.1E-7,1712636.71288884,1.1E-7
BTC,BITTREX,HPC,1.1E-6,1.1E-6,-1.0,1.1E-6
BTC,BITTREX,ICN,8.8E-6,8.8E-6,81.35923584,8.8E-6
BTC,BITTREX,IFC,4.0E-8,4.0E-8,-1.0,4.0E-8
BTC,BITTREX,IPC,1.0E-7,1.0E-7,3585.7,1.0E-7
BTC,BITTREX,IQD,1.88E-4,1.88E-4,-1.0,1.88E-4
BTC,BITTREX,ISR,5.5387E-4,5.5387E-4,223740.17546905,5.5387E-4
BTC,BITTREX,JBG,3.0E-7,3.0E-7,-1.0,3.0E-7
BTC,BITTREX,KARM,1.0E-8,1.0E-8,54.0,1.0E-8
BTC,BITTREX,KMC,4.9E-7,4.9E-7,896418.61172599,4.9E-7
BTC,BITTREX,LGD,-1.0,-1.0,-1.0,-1.0
BTC,BITTREX,LTC,0.0256,0.0256,94.55784049,0.0256
BTC,BITTREX,MEOW,3.0E-8,3.0E-8,-1.0,3.0E-8
BTC,BITTREX,MINT,1.4E-7,1.4E-7,41315.4807,1.4E-7
BTC,BITTREX,MMC,1.55E-4,1.55E-4,3347.07203885,1.55E-4
BTC,BITTREX,MPL,6.0E-8,6.0E-8,507796.55299746,6.0E-8
BTC,BITTREX,MRS,3.19E-5,3.19E-5,-1.0,3.19E-5
BTC,BITTREX,MUN,7.598E-5,7.598E-5,26946.27777967,7.598E-5
BTC,BITTREX,MYR,7.0E-6,7.0E-6,359.32287722,7.0E-6
BTC,BITTREX,MZC,2.1E-6,2.1E-6,7748.9615943,2.1E-6
BTC,BITTREX,NLG,3.56E-6,3.56E-6,6011510.46416183,3.56E-6
BTC,BITTREX,NXT,6.5E-5,6.5E-5,-1.0,6.5E-5
