Coin Code,Exchange,Market,Buy,Sell,Last,Volume
42,CRYPTSY,BTC,70.32500018,70.32500018,0.09157443,70.32500018

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
ADT,CRYPTSY,LTC,2.1E-7,2.1E-7,1.591525691332922E8,2.1E-7

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
ALF,CRYPTSY,BTC,1.59E-6,1.59E-6,149057.84232861,1.59E-6

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
AMC,CRYPTSY,BTC,2.29E-6,2.29E-6,231332.1236098,2.29E-6

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
ANC,CRYPTSY,BTC,0.00147482,0.00147482,8475.47640165,0.00147482
ANC,CRYPTSY,LTC,0.05558743,0.05558743,1179.08424644,0.05558743
ANC,COINEX,BTC,0.2,0.2,5.18868598E8,110410.0

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
ARG,CRYPTSY,BTC,4.705E-5,4.705E-5,7023.3562602,4.705E-5

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
ASC,CRYPTSY,LTC,1.022E-5,1.022E-5,9785282.44212631,1.022E-5
ASC,COINEX,BTC,0.2,0.2,5.461643610346E12,18.0
ASC,COINEX,DOGE,0.2,0.2,6.862176202431E12,1.85E7
ASC,COINEX,LTC,0.2,0.2,6.278870568908E12,800.0

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
AUR,CRYPTSY,BTC,0.00293647,0.00293647,64781.05602567,0.00293647
AUR,CRYPTSY,LTC,0.12062017,0.12062017,1852.31120621,0.12062017
AUR,BTER,BTC,0.003,0.003169,3284.464,0.003

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
BAT,CRYPTSY,LTC,2.8E-7,2.8E-7,1.637110431717637E8,2.8E-7
BAT,CRYPTSY,BTC,1.0E-8,1.0E-8,5.525957098802394E7,1.0E-8

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
BC,CRYPTSY,BTC,9.536E-5,9.536E-5,458204.62452023,9.536E-5
BC,BTER,BTC,9.399E-5,9.618E-5,37622.134,9.399E-5

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
BCX,CRYPTSY,BTC,5.98E-6,5.98E-6,252514.01379006,5.98E-6

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
BEN,CRYPTSY,BTC,1.96E-5,1.96E-5,26154.70676111,1.96E-5

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
BET,CRYPTSY,BTC,7.47E-6,7.47E-6,150825.08735905,7.47E-6
BET,COINEX,LTC,0.2,0.2,3.798980663E10,11650.0
BET,COINEX,BTC,0.2,0.2,1.02576500957E11,582.0

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
BFC,COINEX,BTC,0.2,0.2,1.513194881145E12,29.0

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
BOC,COINEX,LTC,0.2,0.2,1.998E10,363.0
BOC,COINEX,BTC,0.2,0.2,3.09328284298E11,65.0

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
BQC,CRYPTSY,BTC,1.1E-5,1.1E-5,58264.02973393,1.1E-5
BQC,BTER,BTC,1.17E-5,1.288E-5,290328.94,1.22E-5
BQC,BTER,CNY,0.0319,0.0322,159247.637,0.0319

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
BTB,CRYPTSY,BTC,0.044,0.044,39.47782801,0.044
BTB,BTER,BTC,0.0437,0.0449,51.9604,0.0437
BTB,BTER,CNY,98.46,129.7,6.946,113.0

Coin Code,Exchange,Market,Buy,Sell,Last,Volume
BTC,CRYPTSY,USD,0.0,0.0,0.0,0.0
BTC,BTER,CNY,2508.0,2525.0,385.2026,2508.0
BTC,BITTREX,10-5,1.21E-5,1.21E-5,364.2634366,1.21E-5
BTC,BITTREX,365,3.01,3.01,1.13595124,3.01
BTC,BITTREX,888,1.05E-5,1.05E-5,176510.01229062,1.05E-5
BTC,BITTREX,AAA,0.36411,0.36411,-1.0,0.36411
BTC,BITTREX,APH,4.5E-7,4.5E-7,1130243.88999183,4.5E-7
BTC,BITTREX,AUR,0.0027,0.0027,2.39959448,0.0027
BTC,BITTREX,BC,1.4E-4,1.4E-4,3873.24602331,1.4E-4
BTC,BITTREX,BEA,1.07E-5,1.07E-5,-1.0,1.07E-5
BTC,BITTREX,BELA,6.0E-7,6.0E-7,20433.64081101,6.0E-7
BTC,BITTREX,BELI,1.0E-8,1.0E-8,1000000.0,1.0E-8
BTC,BITTREX,BLTZ,1.37E-6,1.37E-6,1568542.76761013,1.37E-6
BTC,BITTREX,BNS,3.0E-8,3.0E-8,2802.39425118,3.0E-8
BTC,BITTREX,BONES,2.05E-6,2.05E-6,-1.0,2.05E-6
BTC,BITTREX,BTL,7.0E-6,7.0E-6,367787.75216206,7.0E-6
BTC,BITTREX,C2,8.0E-6,8.0E-6,13843.60570494,8.0E-6
BTC,BITTREX,CAT,7.0E-5,7.0E-5,-1.0,7.0E-5
